gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Rps13,0.564,1.37,0.67,0.55,0.49,0.54
Kctd2,0.564,7.43,0.02,0.07,0.00,0.02
Tubb2a,0.564,14.33,0.04,0.07,0.00,0.02
Mbtps1,0.564,1.67,0.05,0.13,0.03,0.12
Psmc1,0.564,1.68,0.05,0.15,0.03,0.09
Ggct,0.564,5.84,0.02,0.07,0.00,0.02
Ptk7,0.564,1.37,0.03,0.10,0.02,0.11
Ist1,0.564,1.90,0.04,0.10,0.02,0.11
Nasp,0.564,1.51,0.07,0.17,0.05,0.19
AY036118,0.564,1.30,5.54,0.97,4.25,0.96
Tulp4,0.564,1.45,0.11,0.22,0.08,0.21
Atp5e,0.564,1.43,0.29,0.42,0.20,0.38
Dsc2,0.564,1.48,0.05,0.13,0.03,0.06
Prpf4b,0.563,1.12,0.13,0.29,0.12,0.28
Baz1a,0.563,1.50,0.08,0.21,0.05,0.17
Edrf1,0.563,3.06,0.03,0.07,0.01,0.05
Casc3,0.563,1.43,0.03,0.09,0.02,0.06
AI413582,0.563,3.75,0.03,0.07,0.01,0.05
Utp18,0.563,2.10,0.04,0.09,0.02,0.06
Setd1a,0.563,2.99,0.03,0.07,0.01,0.05
Ezr,0.563,1.82,0.23,0.34,0.12,0.36
Ddx18,0.563,3.17,0.03,0.09,0.01,0.03
Chchd6,0.563,1.52,0.03,0.08,0.02,0.07
Commd4,0.563,2.54,0.02,0.09,0.01,0.06
Wtap,0.563,1.45,0.06,0.14,0.04,0.13
Arhgap8,0.563,3.16,0.03,0.08,0.01,0.04
Nkap,0.563,3.25,0.03,0.07,0.01,0.05
Chid1,0.563,2.81,0.03,0.07,0.01,0.05
Pacs2,0.563,2.44,0.02,0.08,0.01,0.04
Serpina10,0.563,2.15,0.04,0.10,0.02,0.05
Rbm8a,0.563,1.38,0.07,0.17,0.05,0.13
Atp6ap2,0.563,1.53,0.02,0.07,0.01,0.08
Tgif1,0.563,1.25,0.06,0.14,0.05,0.16
Stk38,0.563,1.68,0.07,0.16,0.04,0.15
Cenpb,0.563,1.32,0.09,0.17,0.07,0.14
Psmd6,0.563,1.75,0.03,0.09,0.02,0.07
Ifngr2,0.563,2.60,0.05,0.10,0.02,0.06
Acvr1,0.563,2.23,0.03,0.10,0.01,0.06
Ehd4,0.563,1.40,0.03,0.09,0.02,0.07
Atxn7l3,0.563,1.75,0.03,0.09,0.02,0.07
Sqor,0.563,1.98,0.04,0.09,0.02,0.07
Eif3c,0.563,1.46,0.21,0.34,0.14,0.32
Med7,0.563,3.49,0.02,0.07,0.01,0.04
Thoc5,0.563,4.87,0.03,0.08,0.01,0.03
Tbpl1,0.563,1.06,0.04,0.08,0.04,0.03
Fxyd6,0.563,5.84,0.04,0.07,0.01,0.04
Ap4s1,0.563,4.91,0.04,0.07,0.01,0.04
Grk3,0.563,3.83,0.04,0.07,0.01,0.04
Armc1,0.563,2.32,0.02,0.07,0.01,0.04
Tsc2,0.563,3.66,0.03,0.09,0.01,0.02
Fkbp5,0.563,2.18,0.02,0.08,0.01,0.03
