gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Ubxn1,0.626,1.72,0.10,0.27,0.06,0.17
Mia3,0.626,2.00,0.10,0.21,0.05,0.16
Chd3,0.626,2.92,0.15,0.24,0.05,0.20
Smad7,0.626,2.38,0.09,0.20,0.04,0.14
Plec,0.626,2.21,0.13,0.20,0.06,0.14
Lpgat1,0.626,2.20,0.10,0.20,0.04,0.14
Fos,0.626,1.89,0.49,0.45,0.26,0.33
Mrps14,0.625,2.44,0.10,0.22,0.04,0.16
Srebf1,0.625,3.40,0.05,0.13,0.01,0.06
Tmod3,0.625,2.77,0.06,0.16,0.02,0.09
Rpl36al,0.625,1.74,0.33,0.43,0.19,0.29
Acvr1b,0.625,6.79,0.06,0.12,0.01,0.04
Relb,0.625,2.44,0.07,0.17,0.03,0.07
Cops5,0.625,1.85,0.06,0.20,0.03,0.12
Mbd3,0.625,4.01,0.05,0.12,0.01,0.05
Epb41l2,0.625,2.16,0.08,0.17,0.04,0.13
Hnrnpc,0.625,1.77,0.20,0.41,0.12,0.32
Ndufs1,0.625,2.84,0.05,0.13,0.02,0.09
Skp1a,0.624,1.53,0.14,0.30,0.09,0.19
Rab22a,0.623,3.30,0.08,0.17,0.02,0.08
Mrpl17,0.623,1.67,0.05,0.14,0.03,0.06
9130008F23Rik,0.623,3.60,0.05,0.14,0.01,0.06
Lrrfip2,0.623,2.07,0.10,0.24,0.05,0.21
Anp32a,0.622,2.05,0.12,0.23,0.06,0.19
Antxr2,0.622,2.62,0.05,0.14,0.02,0.08
Kitl,0.622,2.66,0.06,0.13,0.02,0.08
Ppib,0.621,2.08,0.17,0.28,0.08,0.23
Immt,0.621,2.14,0.09,0.24,0.04,0.17
Mrpl42,0.621,2.96,0.06,0.15,0.02,0.08
Gpx1,0.621,1.74,0.17,0.27,0.10,0.19
Arpc5l,0.621,2.01,0.06,0.17,0.03,0.11
Bend7,0.620,2.41,0.08,0.17,0.03,0.09
Srp9,0.620,1.57,0.11,0.23,0.07,0.15
Mal2,0.620,1.84,0.10,0.26,0.05,0.15
Ei24,0.620,2.86,0.06,0.15,0.02,0.03
Ubl5,0.620,1.66,0.16,0.30,0.10,0.23
Itgav,0.620,1.69,0.17,0.33,0.10,0.22
Chmp5,0.620,1.67,0.07,0.19,0.04,0.14
Smap1,0.619,2.04,0.07,0.19,0.03,0.12
Rac1,0.619,1.41,0.11,0.30,0.08,0.20
March7,0.619,2.54,0.22,0.27,0.09,0.22
Ak6,0.619,16.11,0.04,0.10,0.00,0.02
Aldoa,0.619,1.93,0.21,0.37,0.11,0.32
