Leiden clusters,Chrm2_mean,Chrm2_perc,C130074G19Rik_mean,C130074G19Rik_perc,Sema3g_mean,Sema3g_perc,Lyve1_mean,Lyve1_perc,Cd3d_mean,Cd3d_perc,Gm2682_mean,Gm2682_perc,Adgre1_mean,Adgre1_perc,Cd300ld_mean,Cd300ld_perc,Rbpjl_mean,Rbpjl_perc,Gm20629_mean,Gm20629_perc,Cd79a_mean,Cd79a_perc,Gcat_mean,Gcat_perc,Svep1_mean,Svep1_perc,Dcdc2a_mean,Dcdc2a_perc,Cxcl14_mean,Cxcl14_perc,Rgs5_mean,Rgs5_perc,Flt3_mean,Flt3_perc,Gm2663_mean,Gm2663_perc,Fgf1_mean,Fgf1_perc,Kcnmb2_mean,Kcnmb2_perc,Csmd1_mean,Csmd1_perc
B cell (Cd79a-Pax5),0,0,0.00007677551574658263,0.2012072434607646,0.0000129788088123656,0.1006036217303823,0,0,0.0001110473844813008,0.6036217303822937,0.0006540320931277562,1.30784708249497,0.0005632941464534207,2.61569416498994,0.0001482115357851915,0.5030181086519114,0.0007790826746473332,3.0181086519114686,0.0001208717416064019,0.30181086519114686,0.07964476199678028,83.60160965794769,0.00028514399204863244,1.4084507042253522,0.00002653801636955025,0.2012072434607646,0.00015858134690457625,0.8048289738430584,0.00029702123639385416,1.4084507042253522,0.0004374004142014499,1.710261569416499,0.0002916581334551889,1.2072434607645874,0.00023982781112165852,1.2072434607645874,0.00005346281297070181,0.30181086519114686,0.000138880273583738,0.4024144869215292,0.00010723949794462284,0.7042253521126761
Cluster 5,0,0,0.0006419491884616235,1.6008537886872998,0,0,0.00015745983878508684,0.42689434364994666,0,0,0.00040837125466397056,0.8537886872998933,0.0005265089615273873,0.96051227321238,0.0002106937504847408,0.42689434364994666,0.007879755879187047,15.154749199573105,0.000750998914691465,2.2411953041622197,0.0003513074622462528,1.0672358591248665,0.00876774000384671,18.24973319103522,0.000759917003212801,1.0672358591248665,0.0009887885294249665,2.0277481323372464,0.0007862656694046356,1.3874066168623265,0.002335238040661707,2.3479188900747063,0.000021073170643619938,0.21344717182497333,0.0041314526567624065,8.004268943436498,0.0000071648113488934636,0.10672358591248667,0.00041151309448615926,0.7470651013874066,0.0010673193294416415,1.92102454642476
Stellate cell (Svep1-Dpt),0.00011155491218776728,0.6160164271047228,0.0001877701444723928,1.2320328542094456,0.00026990749753851457,1.2320328542094456,0.00014521977115717686,0.41067761806981523,0.0002322738679539288,0.6160164271047228,0.0011227102299165138,1.642710472279261,0.0004968664206673312,0.8213552361396305,0.000020459600002017246,0.20533880903490762,0.0004641787316356228,1.4373716632443532,0.00004017651079840881,0.41067761806981523,0.00017447473352830267,0.6160164271047228,0.0005912227367371537,3.0800821355236137,0.036552991176952675,53.38809034907598,0.0003620074453422557,0.8213552361396305,0.032096448192756026,26.69404517453799,0.0018393449252190365,2.6694045174537986,0.0002250815492836052,1.2320328542094456,0.00038848821026422355,1.642710472279261,0.0010115565155314,5.749486652977413,0,0,0.04993853086062271,7.186858316221765
Progenitor (ADM),0.00012365959055745475,0.22935779816513763,0.0002366882261693764,1.3761467889908259,0.00002145591065884418,0.22935779816513763,0,0,0.00003957725292415492,0.22935779816513763,0.00007327975736738059,0.22935779816513763,0.00020239670407351269,0.45871559633027525,0.00023713000136860236,0.22935779816513763,0.0013584712423202242,4.3577981651376145,0.00031212398089195575,1.146788990825688,0.0001593012436744998,0.22935779816513763,0.0010654335145924077,4.81651376146789,0.00002904964916972555,0.22935779816513763,0.07102016597939194,64.6788990825688,0.00011005775846160778,0.6880733944954129,0.004804955809022397,12.385321100917432,0.00015873250791510827,0.45871559633027525,0.0002516227584321501,0.6880733944954129,0.00026741400501827,1.6055045871559634,0.00008060578360768734,0.45871559633027525,0.014687550531508102,19.26605504587156
Muscularis cell,0,0,0.0003784027522835624,0.7936507936507936,0,0,0.00018943842408554644,0.3968253968253968,0.00012948317816485487,0.3968253968253968,0.0004477659001514812,0.7936507936507936,0.0006713886362314787,0.7936507936507936,0.0006677095774264868,0.7936507936507936,0.002241787400228688,2.380952380952381,0.00024101819301972985,0.3968253968253968,0,0,0.001999716140696693,1.984126984126984,0.0030215282039726256,3.571428571428571,0.00031006760930244446,0.7936507936507936,0.05157863109860174,33.730158730158735,0.0003848669959682643,0.3968253968253968,0,0,0.00029504709064713845,0.7936507936507936,0.0002079103558291193,0.3968253968253968,0,0,0.004350016760811405,2.380952380952381
Fibroblast (Rgs5),0.00012606962359892432,0.8888888888888888,0.001662556452601357,6.666666666666667,0,0,0,0,0,0,0,0,0.0010573013918141788,0.8888888888888888,0,0,0.00038044380557030556,1.3333333333333335,0.0001285422954255284,0.8888888888888888,0,0,0.00036257950515621896,2.2222222222222223,0.00041957141895477033,1.7777777777777777,0,0,0.000562296162703674,1.3333333333333335,0.582403794716948,86.22222222222223,0,0,0.0009063775139754547,1.7777777777777777,0.003919291186899417,14.222222222222221,0.00007118532113418235,0.4444444444444444,0.005053149433787099,5.333333333333334
Dendritic (Cd209a),0,0,0,0,0,0,0.00010225184686110321,0.49019607843137253,0.00003857673375805358,0.49019607843137253,0.00011573020127416074,0.49019607843137253,0.0011813580761587705,8.823529411764707,0.001128327748679388,9.803921568627452,0.0007325689033286023,3.431372549019608,0.00004752986927987792,0.49019607843137253,0,0,0.0001900677353721686,1.9607843137254901,0,0,0,0,0.0012994767077013137,8.333333333333332,0.00007751415448540651,0.9803921568627451,0.025923153270069072,75.98039215686273,0.00011005573682495834,0.9803921568627451,0,0,0.00004819644284397398,0.49019607843137253,0.0003841790964040054,1.9607843137254901
Gm2663,0.000022445385919073376,0.5586592178770949,0,0,0,0,0,0,0.00028420481051089313,0.5586592178770949,0.00017657550914953302,0.5586592178770949,0.00028420481051089313,0.5586592178770949,0,0,0.003300296736386519,13.966480446927374,0.0006029975964945197,0.5586592178770949,0.00007580541213073961,0.5586592178770949,0.003172697540878102,16.75977653631285,0,0,0.0006445836376320727,0.5586592178770949,0.00027784390604305965,1.1173184357541899,0.0001645635697516056,0.5586592178770949,0,0,0.04259444616091646,56.424581005586596,0,0,0,0,0,0
Stellate cell (Fgf1),0.00021098884069332795,0.9259259259259258,0.0007819968039395017,5.555555555555555,0,0,0,0,0,0,0,0,0.000433036499275601,0.9259259259259258,0,0,0,0,0.00024447612979189244,0.9259259259259258,0,0,0.000191084791101709,0.9259259259259258,0,0,0.0008848867559207898,1.8518518518518516,0.0012877498392356416,5.555555555555555,0.002676160745071539,1.8518518518518516,0,0,0.0002139364595161866,1.8518518518518516,0.046226240158581934,68.51851851851852,0.0009657309213993228,2.7777777777777777,0.00013375185436809183,0.9259259259259258
Enterochromaffn cell,0.0016113462171626382,3.7037037037037033,0,0,0,0,0,0,0,0,0.0010746542370670808,3.7037037037037033,0.00033224443083587423,3.7037037037037033,0,0,0,0,0,0,0,0,0,0,0,0,0.002557826611140207,11.11111111111111,0.0003554625553375729,3.7037037037037033,0,0,0,0,0,0,0,0,0.0833785653663687,66.66666666666666,0,0
